Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Male,2021,Q3,Traffic,Fatal,98.51
Male,2021,Q3,Drowning,Slight,58.96
Male,2021,Q3,Fire,Fatal,70.28
Male,2019,Q1,Traffic,Fatal,71.41
Male,2019,Q1,Drowning,Slight,10.36
Male,2019,Q1,Fire,Fatal,45.16
Male,2021,Q3,Traffic,Fatal,81.24
Male,2021,Q3,Drowning,Slight,18.15
Male,2021,Q3,Fire,Fatal,19.65
Male,2019,Q1,Traffic,Fatal,19.28
Male,2019,Q1,Drowning,Slight,20.1
Male,2019,Q1,Fire,Fatal,19.64
Male,2021,Q3,Traffic,Fatal,26.24
Male,2021,Q3,Drowning,Slight,91.02
Male,2021,Q3,Fire,Fatal,30.48
