Polluted element,Type of pollution,California_Hastings,California_Malibu,California_Reno,Minnesota_Las Vegas,Minnesota_Rochester,Nevada_Berkeley,Nevada_Minneapolis,Average
Air,Chemical,-11.55,7.42,-92.52,65.82,-45.32,45.72,-72.18,-14.66
,Inferior Irrigation,-2.54,20.92,-86.41,69.58,-41.29,47.06,-66.42,-8.44
,Light,-22.09,9.96,97.39,57.21,-52.11,33.60,-73.78,7.17
,Urban Activities,-35.13,5.56,78.36,52.62,-57.30,30.52,-79.62,-0.71
Soil,Groundwater,-14.15,9.90,-99.01,64.68,-46.23,43.50,-71.56,-16.12
,Inferior Irrigation,-35.73,4.71,74.29,49.68,-59.23,27.67,-79.97,-2.65
,Noise,-23.07,7.77,90.70,52.70,-54.87,33.68,-78.45,4.07
,Oxygen-depletion,-7.68,18.69,-86.81,65.37,-42.69,47.50,-68.41,-10.58
Water,Industrial,-33.73,7.55,90.67,53.15,-56.82,31.63,-77.15,2.19
,Surface water,-9.41,7.07,-91.68,66.31,-44.46,46.26,-69.31,-13.60
,Thermal,-15.06,10.62,-0.67,61.04,-51.06,41.52,-73.62,-3.89
,Urban Activities,-1.02,21.84,-81.18,72.72,-38.57,49.07,-63.64,-5.83
Average,,-17.60,11.00,-8.91,60.91,-49.16,39.81,-72.84,-5.26
