Quarter,Month,Culture_Hospital,Culture_Museum,Culture_Theatre,Service_Concert,Service_School
Minimum,,76.43,41.09,1.43,10.96,63.22
,  ,76.43,41.09,1.43,10.96,63.22
Q1,,76.43,41.09,1.43,10.96,63.22
,  April,92.24,61.14,2.23,31.35,70.86
,  January,76.43,41.09,1.43,10.96,63.22
,  October,83.85,45.99,3.54,24.49,67.76
Q2,,79.78,44.40,3.21,23.96,66.18
,  February,79.78,44.40,3.21,23.96,66.18
,  March,93.07,63.97,9.98,38.60,76.76
,  May,91.09,58.95,6.51,28.59,70.93
Q4,,77.01,42.76,2.84,19.73,65.46
,  December,84.03,44.94,3.87,27.84,67.78
,  January,93.27,62.22,9.68,34.50,75.41
,  March,77.01,42.76,2.84,19.73,65.46
