Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,Hotel,Q2,May,1.51
Residential,Hotel,Q1,April,1.13
Residential,Hotel,Q2,June,3.86
Residential,Hotel,Q1,February,9.25
Residential,Hotel,Q2,January,14.03
Residential,Hotel,Q1,March,15.97
Service,Apartment,Q2,May,29.68
Service,Apartment,Q1,April,29.88
Service,Apartment,Q2,June,34.84
Service,Apartment,Q1,February,42.02
Service,Apartment,Q2,January,44.88
Service,Apartment,Q1,March,44.73
Residential,House,Q2,May,44.47
Residential,House,Q1,April,45.6
Residential,House,Q2,June,49.8
Residential,House,Q1,February,54.07
Residential,House,Q2,January,60.82
Residential,House,Q1,March,63.45
Service,Administration,Q2,May,65.2
Service,Administration,Q1,April,66.69
Service,Administration,Q2,June,67.03
Service,Administration,Q1,February,69.76
Service,Administration,Q2,January,76.27
Service,Administration,Q1,March,78.48
Residential,School,Q2,May,78.44
Residential,School,Q1,April,91.47
Residential,School,Q2,June,96.62
Residential,School,Q1,February,96.86
Residential,School,Q2,January,97.0
Residential,School,Q1,March,96.85
