Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Export,2022,Q3,Beverage,Tea,640.94
Export,2022,Q3,Meat,Coffee,387.6
Export,2022,Q3,Cereals,Juice,904.23
Export,2022,Q3,Beverage,Camel,906.32
Export,2022,Q3,Meat,Duck,275.59
Export,2022,Q3,Cereals,Pork,276.08
Export,2022,Q3,Beverage,Rice,410.7
Export,2022,Q3,Meat,Oats,33.08
Export,2022,Q3,Cereals,Tea,548.25
Export,2015,Q3,Beverage,Tea,932.37
Export,2015,Q3,Meat,Coffee,165.0
Export,2015,Q3,Cereals,Juice,811.68
Export,2015,Q3,Beverage,Camel,684.29
Export,2015,Q3,Meat,Duck,429.98
Export,2015,Q3,Cereals,Pork,942.05
Export,2015,Q3,Beverage,Rice,431.5
Export,2015,Q3,Meat,Oats,306.84
Export,2015,Q3,Cereals,Tea,947.77
Export,2020,Q3,Beverage,Tea,180.63
Export,2020,Q3,Meat,Coffee,567.79
Export,2020,Q3,Cereals,Juice,56.99
Export,2020,Q3,Beverage,Camel,578.84
Export,2020,Q3,Meat,Duck,70.99
Export,2020,Q3,Cereals,Pork,464.78
Export,2020,Q3,Beverage,Rice,466.63
Export,2020,Q3,Meat,Oats,466.88
Export,2020,Q3,Cereals,Tea,981.73
Export,2022,Q3,Beverage,Tea,470.88
Export,2022,Q3,Meat,Coffee,600.1
Export,2022,Q3,Cereals,Juice,218.63
Export,2022,Q3,Beverage,Camel,606.36
Export,2022,Q3,Meat,Duck,616.38
Export,2022,Q3,Cereals,Pork,874.52
Export,2022,Q3,Beverage,Rice,363.84
Export,2022,Q3,Meat,Oats,620.86
Export,2022,Q3,Cereals,Tea,620.16
Export,2015,Q3,Beverage,Tea,753.52
Export,2015,Q3,Meat,Coffee,242.63
Export,2015,Q3,Cereals,Juice,754.85
Export,2015,Q3,Beverage,Camel,502.86
Export,2015,Q3,Meat,Duck,631.48
Export,2015,Q3,Cereals,Pork,121.9
Export,2015,Q3,Beverage,Rice,762.88
Export,2015,Q3,Meat,Oats,379.4
Export,2015,Q3,Cereals,Tea,510.25
