Polluted element,Type of pollution,Florida_Baltimore,Florida_Columbia,Florida_Fort Lauderdale,Maryland_Aberdeen,Maryland_Tampa,Average
Air,,5.53,65.94,21.36,-20.96,-27.49,8.87
,  Industrial,-22.13,67.38,21.34,-46.81,-82.69,-12.58
,  Noise,97.58,60.47,3.69,-56.59,44.85,30.00
,  Oxygen-depletion,-26.49,56.29,9.85,-48.25,-83.17,-18.35
,  Solid Waste,-14.42,71.29,32.30,-43.56,-73.93,-5.66
,  Thermal,-6.90,74.26,39.61,90.39,57.49,50.97
Soil,,9.71,-33.98,18.03,35.16,-0.18,5.75
,  Chemical,-1.68,-54.70,-1.64,96.39,60.44,19.76
,  Inferior Irrigation,-16.55,-58.49,31.43,85.75,46.48,17.72
,  Light,-7.55,-56.32,37.80,88.70,56.91,23.91
,  Thermal,99.19,61.82,8.77,-49.00,-82.99,7.56
,  Urban Activities,-24.86,-62.23,13.77,-46.03,-81.74,-40.22
Water,,7.55,-9.66,-13.38,58.30,0.87,8.74
,  Chemical,-25.02,59.85,78.56,-51.12,48.10,22.07
,  Inorganic Fertilizers,-20.88,-60.10,-99.25,84.50,-77.06,-34.56
,  Light,96.30,-66.75,5.64,78.92,-83.22,6.18
,  Noise,-10.64,-56.18,-94.30,87.47,56.83,-3.36
,  Oxygen-depletion,-2.03,74.90,42.43,91.71,59.72,53.35
Average,,7.59,7.43,8.67,24.16,-8.93,7.79
,  ,7.59,7.43,8.67,24.16,-8.93,7.79
