Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2021,Temperature,11-20,0.59
2021,Humidity,0-10,2.92
2021,Temperature,31-40,3.61
2021,Humidity,Low,3.4
2021,Temperature,High,5.65
2021,Humidity,11-20,7.9
2020,Temperature,11-20,9.17
2020,Humidity,0-10,12.03
2020,Temperature,31-40,15.82
2020,Humidity,Low,16.27
2020,Temperature,High,17.39
2020,Humidity,11-20,18.2
2015,Temperature,11-20,19.84
2015,Humidity,0-10,19.38
2015,Temperature,31-40,20.78
2015,Humidity,Low,21.76
2015,Temperature,High,18.48
2015,Humidity,11-20,25.61
