Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Service,Library,Q3,August,California,Malibu,5.13
Service,Library,Q1,July,California,San Francisco,8.05
Service,Library,Q3,September,California,Malibu,8.34
Service,Library,Q1,February,California,San Francisco,12.42
Service,Library,Q3,March,California,Malibu,17.56
Service,Library,Q1,January,California,San Francisco,22.45
Residential,Hospital,Q3,August,California,Malibu,34.47
Residential,Hospital,Q1,July,California,San Francisco,35.87
Residential,Hospital,Q3,September,California,Malibu,38.02
Residential,Hospital,Q1,February,California,San Francisco,39.92
Residential,Hospital,Q3,March,California,Malibu,46.24
Residential,Hospital,Q1,January,California,San Francisco,47.45
Service,School,Q3,August,California,Malibu,48.42
Service,School,Q1,July,California,San Francisco,55.39
Service,School,Q3,September,California,Malibu,56.16
Service,School,Q1,February,California,San Francisco,59.23
Service,School,Q3,March,California,Malibu,60.64
Service,School,Q1,January,California,San Francisco,61.52
Residential,Hotel,Q3,August,California,Malibu,66.42
Residential,Hotel,Q1,July,California,San Francisco,66.02
Residential,Hotel,Q3,September,California,Malibu,66.69
Residential,Hotel,Q1,February,California,San Francisco,69.33
Residential,Hotel,Q3,March,California,Malibu,69.75
Residential,Hotel,Q1,January,California,San Francisco,70.86
Service,House,Q3,August,California,Malibu,78.75
Service,House,Q1,July,California,San Francisco,79.72
Service,House,Q3,September,California,Malibu,81.1
Service,House,Q1,February,California,San Francisco,84.19
Service,House,Q3,March,California,Malibu,85.37
Service,House,Q1,January,California,San Francisco,88.46
Residential,Apartment,Q3,August,California,Malibu,91.02
Residential,Apartment,Q1,July,California,San Francisco,93.07
Residential,Apartment,Q3,September,California,Malibu,94.26
Residential,Apartment,Q1,February,California,San Francisco,94.72
Residential,Apartment,Q3,March,California,Malibu,95.33
Residential,Apartment,Q1,January,California,San Francisco,99.9
