Quarter,Month,Culture_Administration,Culture_Factory,Culture_Theatre,Production_Concert,Production_Hospital,Service_Museum,Service_School,Service_Workshop,State,City
Q2,,42.13,77.70,3.95,34.35,63.74,19.31,55.91,90.46,,
,  August,51.68,83.07,16.75,38.49,74.01,33.40,62.85,95.90,Minnesota,Hastings
,  June,42.13,78.63,12.18,37.27,69.22,26.17,57.70,93.79,Georgia,Columbus
,  October,45.82,77.70,3.95,34.35,63.74,19.31,55.91,90.46,Minnesota,Hastings
Q3,,43.18,73.31,1.90,34.55,62.75,17.26,46.13,42.92,,
,  December,43.18,78.70,7.85,37.93,66.06,20.61,56.59,90.23,Georgia,Columbus
,  July,43.79,73.31,1.90,34.55,62.75,17.26,46.13,42.92,Minnesota,Hastings
,  May,49.43,81.46,12.03,39.45,72.87,29.22,58.09,94.09,Minnesota,Hastings
Q4,,44.44,75.83,1.92,35.27,62.50,17.54,54.41,85.45,,
,  April,44.44,79.69,9.44,38.82,67.66,25.39,57.37,90.16,Minnesota,Hastings
,  August,44.55,75.83,1.92,35.27,62.50,17.54,54.41,85.45,Georgia,Columbus
,  July,49.12,78.82,14.60,41.60,72.49,29.33,59.40,95.06,Georgia,Columbus
Minimum,,42.13,73.31,1.90,34.35,62.50,17.26,46.13,42.92,,
,  ,42.13,73.31,1.90,34.35,62.50,17.26,46.13,42.92,,
