Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2018,Temperature,11-20,1.2
2018,Wind,21-30,26.63
2018,Temperature,31-40,26.3
2018,Wind,Storm,5.43
2018,Temperature,Breeze,6.7
2018,Wind,Calm,7.71
2020,Temperature,11-20,27.36
2020,Wind,21-30,5.95
2020,Temperature,31-40,7.67
2020,Wind,Storm,7.2
2020,Temperature,Breeze,14.12
2020,Wind,Calm,16.04
2022,Temperature,11-20,18.61
2022,Wind,21-30,19.8
2022,Temperature,31-40,19.45
2022,Wind,Storm,23.45
2022,Temperature,Breeze,26.13
2022,Wind,Calm,27.93
