Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Residential,Hotel,Q2,June,Maryland,Columbia,0.79
Residential,Hotel,Q4,April,Illinois,Aberdeen,2.62
Residential,Hotel,Q3,December,Maryland,Champaign,2.12
Residential,Hotel,Q2,November,Illinois,Chicago,2.92
Residential,Hotel,Q4,September,Maryland,Columbia,6.33
Residential,Hotel,Q3,July,Illinois,Aberdeen,6.66
Residential,Hotel,Q2,August,Maryland,Champaign,8.89
Residential,Hotel,Q4,June,Illinois,Chicago,7.52
Residential,Hotel,Q3,April,Maryland,Columbia,14.68
Culture,House,Q2,June,Maryland,Columbia,16.21
Culture,House,Q4,April,Illinois,Aberdeen,17.4
Culture,House,Q3,December,Maryland,Champaign,19.19
Culture,House,Q2,November,Illinois,Chicago,23.23
Culture,House,Q4,September,Maryland,Columbia,24.48
Culture,House,Q3,July,Illinois,Aberdeen,24.46
Culture,House,Q2,August,Maryland,Champaign,27.51
Culture,House,Q4,June,Illinois,Chicago,33.27
Culture,House,Q3,April,Maryland,Columbia,36.87
Residential,Museum,Q2,June,Maryland,Columbia,39.22
Residential,Museum,Q4,April,Illinois,Aberdeen,40.34
Residential,Museum,Q3,December,Maryland,Champaign,43.58
Residential,Museum,Q2,November,Illinois,Chicago,43.65
Residential,Museum,Q4,September,Maryland,Columbia,44.28
Residential,Museum,Q3,July,Illinois,Aberdeen,47.15
Residential,Museum,Q2,August,Maryland,Champaign,48.8
Residential,Museum,Q4,June,Illinois,Chicago,48.42
Residential,Museum,Q3,April,Maryland,Columbia,55.77
Culture,Theatre,Q2,June,Maryland,Columbia,58.49
Culture,Theatre,Q4,April,Illinois,Aberdeen,62.96
Culture,Theatre,Q3,December,Maryland,Champaign,64.41
Culture,Theatre,Q2,November,Illinois,Chicago,66.02
Culture,Theatre,Q4,September,Maryland,Columbia,68.14
Culture,Theatre,Q3,July,Illinois,Aberdeen,72.95
Culture,Theatre,Q2,August,Maryland,Champaign,73.39
Culture,Theatre,Q4,June,Illinois,Chicago,72.82
Culture,Theatre,Q3,April,Maryland,Columbia,75.24
Residential,Concert,Q2,June,Maryland,Columbia,76.21
Residential,Concert,Q4,April,Illinois,Aberdeen,79.31
Residential,Concert,Q3,December,Maryland,Champaign,80.35
Residential,Concert,Q2,November,Illinois,Chicago,80.14
Residential,Concert,Q4,September,Maryland,Columbia,91.66
Residential,Concert,Q3,July,Illinois,Aberdeen,94.29
Residential,Concert,Q2,August,Maryland,Champaign,95.4
Residential,Concert,Q4,June,Illinois,Chicago,96.41
Residential,Concert,Q3,April,Maryland,Columbia,97.17
