Polluted element,Type of pollution,Florida_Flint,Florida_Tampa,Michigan_Detroit,Michigan_Fort Lauderdale,Average
Air,Industrial,10.18,-36.97,-19.04,-77.11,-30.73
,Inorganic Fertilizers,-58.38,-42.55,33.55,-14.28,-20.41
,Light,-54.43,30.01,-32.17,53.67,-0.73
Soil,Chemical,4.73,-46.55,28.95,48.70,8.95
,Solid Waste,8.83,25.91,44.34,-15.42,15.92
,Thermal,-57.24,28.41,96.85,-78.46,-2.61
Water,Groundwater,3.77,-48.88,-38.37,-16.82,-25.07
,Inferior Irrigation,5.32,-40.51,-21.70,-13.81,-17.68
,Urban Activities,-61.25,26.84,-33.64,46.66,-5.35
Average,,-22.05,-11.59,6.53,-7.43,-8.63
