Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Administration,Q3,August,1.62
Service,Administration,Q1,September,8.08
Service,Administration,Q2,March,8.11
Service,Administration,Q3,February,11.41
Service,Administration,Q1,April,15.16
Service,Administration,Q2,June,20.46
Service,Administration,Q3,May,24.02
Service,Administration,Q1,August,25.12
Service,Administration,Q2,September,28.56
Culture,School,Q3,August,29.53
Culture,School,Q1,September,31.07
Culture,School,Q2,March,36.23
Culture,School,Q3,February,37.04
Culture,School,Q1,April,38.33
Culture,School,Q2,June,36.64
Culture,School,Q3,May,40.04
Culture,School,Q1,August,44.4
Culture,School,Q2,September,47.66
Production,Theatre,Q3,August,48.79
Production,Theatre,Q1,September,49.79
Production,Theatre,Q2,March,49.74
Production,Theatre,Q3,February,50.93
Production,Theatre,Q1,April,52.09
Production,Theatre,Q2,June,52.51
Production,Theatre,Q3,May,54.76
Production,Theatre,Q1,August,56.16
Production,Theatre,Q2,September,60.18
Service,Museum,Q3,August,60.0
Service,Museum,Q1,September,62.71
Service,Museum,Q2,March,61.53
Service,Museum,Q3,February,60.12
Service,Museum,Q1,April,67.58
Service,Museum,Q2,June,69.9
Service,Museum,Q3,May,71.26
Service,Museum,Q1,August,74.0
Service,Museum,Q2,September,74.42
Culture,Workshop,Q3,August,74.12
Culture,Workshop,Q1,September,77.1
Culture,Workshop,Q2,March,77.89
Culture,Workshop,Q3,February,78.65
Culture,Workshop,Q1,April,80.44
Culture,Workshop,Q2,June,76.02
Culture,Workshop,Q3,May,82.12
Culture,Workshop,Q1,August,84.97
Culture,Workshop,Q2,September,86.9
Production,Factory,Q3,August,89.86
Production,Factory,Q1,September,90.25
Production,Factory,Q2,March,91.14
Production,Factory,Q3,February,90.26
Production,Factory,Q1,April,92.8
Production,Factory,Q2,June,93.56
Production,Factory,Q3,May,99.65
Production,Factory,Q1,August,99.37
Production,Factory,Q2,September,99.76
