Characteristic,Intensity,2017_Georgia_Boston,2017_Georgia_Columbus,2020_Massachusetts_Albany,2020_Massachusetts_Cambridge,2020_Massachusetts_Lenox
Humidity,31-40,11.05,22.40,10.94,21.65,1.55
,Medium,9.39,27.44,9.71,18.14,2.16
,Storm,15.99,7.35,4.64,24.87,6.02
Temperature,21-30,13.50,25.97,14.30,22.65,4.11
,High,10.23,27.51,3.93,19.72,1.99
,Medium,15.76,7.32,20.69,17.10,2.25
Wind,11-20,11.71,26.01,10.89,19.74,2.38
,Breeze,14.19,27.96,4.47,21.09,5.20
,High,17.24,8.05,2.14,26.49,8.13
Maximum,,17.24,27.96,20.69,26.49,8.13
