Polluted element,Type of pollution,California_Berkeley,California_Las Vegas,California_Portland,Nevada_Redmond,Nevada_Reno,Oregon_Boulder City,Oregon_Malibu,Oregon_Salem,Average
Air,Chemical,-98.06,-6.34,50.62,57.80,-72.90,-51.38,85.52,20.91,-1.73
,Industrial,91.05,-48.07,23.59,54.39,-94.46,-62.94,68.50,3.16,4.40
,Noise,94.52,-43.44,29.80,58.23,-90.42,-57.28,71.81,6.98,8.78
,Oxygen-depletion,94.73,-32.75,38.04,60.82,-82.24,-56.61,80.90,16.64,14.94
Soil,Groundwater,-99.35,-9.67,44.54,58.36,-73.01,-52.02,84.53,18.26,-3.54
,Inorganic Fertilizers,90.31,-49.29,21.12,52.92,-98.48,-67.54,66.29,-0.50,1.85
,Solid Waste,93.62,-46.05,22.31,57.15,-90.73,-59.50,70.94,5.37,6.64
,Thermal,96.41,-32.49,37.34,60.70,-86.36,-55.80,75.07,13.91,13.60
Water,Inorganic Fertilizers,-98.37,-4.41,50.22,66.83,-68.62,-55.90,86.07,21.35,-0.35
,Light,92.81,-42.07,32.48,57.45,-87.13,-57.93,75.80,4.73,9.52
,Surface water,-6.12,-27.34,42.52,60.46,-76.18,-56.68,83.31,16.35,4.54
,Urban Activities,92.01,-46.66,21.59,54.71,-94.40,-61.71,69.67,4.88,5.01
Average,,36.96,-32.38,34.51,58.32,-84.58,-57.94,76.53,11.00,5.30
