Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Humidity,High,0.87
2015,Wind,Low,0.63
2015,Temperature,Medium,2.51
2015,Humidity,Calm,0.26
2015,Wind,Storm,3.79
2015,Temperature,Breeze,5.87
2015,Humidity,11-20,6.69
2015,Wind,0-10,6.42
2015,Temperature,31-40,7.25
2022,Humidity,High,7.8
2022,Wind,Low,6.1
2022,Temperature,Medium,8.28
2022,Humidity,Calm,12.7
2022,Wind,Storm,9.02
2022,Temperature,Breeze,14.56
2022,Humidity,11-20,15.66
2022,Wind,0-10,2.09
2022,Temperature,31-40,12.33
2017,Humidity,High,18.39
2017,Wind,Low,20.84
2017,Temperature,Medium,21.01
2017,Humidity,Calm,21.49
2017,Wind,Storm,22.32
2017,Temperature,Breeze,22.09
2017,Humidity,11-20,26.55
2017,Wind,0-10,27.52
2017,Temperature,31-40,27.46
