Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,House,Q4,November,0.7
Residential,House,Q1,October,1.62
Residential,House,Q2,January,3.37
Residential,House,Q4,March,4.43
Residential,House,Q1,February,5.81
Residential,House,Q2,April,11.61
Residential,House,Q4,May,13.53
Residential,House,Q1,June,14.1
Residential,House,Q2,November,17.87
Culture,Hotel,Q4,November,18.71
Culture,Hotel,Q1,October,20.87
Culture,Hotel,Q2,January,23.11
Culture,Hotel,Q4,March,23.1
Culture,Hotel,Q1,February,26.58
Culture,Hotel,Q2,April,27.54
Culture,Hotel,Q4,May,27.39
Culture,Hotel,Q1,June,29.6
Culture,Hotel,Q2,November,30.36
Production,Concert,Q4,November,29.0
Production,Concert,Q1,October,32.83
Production,Concert,Q2,January,28.15
Production,Concert,Q4,March,34.97
Production,Concert,Q1,February,28.96
Production,Concert,Q2,April,29.19
Production,Concert,Q4,May,43.63
Production,Concert,Q1,June,44.45
Production,Concert,Q2,November,46.63
Residential,Museum,Q4,November,46.9
Residential,Museum,Q1,October,48.18
Residential,Museum,Q2,January,49.12
Residential,Museum,Q4,March,48.69
Residential,Museum,Q1,February,51.64
Residential,Museum,Q2,April,52.56
Residential,Museum,Q4,May,50.82
Residential,Museum,Q1,June,51.5
Residential,Museum,Q2,November,55.31
Culture,Theatre,Q4,November,55.29
Culture,Theatre,Q1,October,60.26
Culture,Theatre,Q2,January,61.01
Culture,Theatre,Q4,March,65.83
Culture,Theatre,Q1,February,65.34
Culture,Theatre,Q2,April,67.56
Culture,Theatre,Q4,May,68.46
Culture,Theatre,Q1,June,69.92
Culture,Theatre,Q2,November,70.4
Production,Workshop,Q4,November,71.32
Production,Workshop,Q1,October,71.05
Production,Workshop,Q2,January,72.14
Production,Workshop,Q4,March,65.67
Production,Workshop,Q1,February,73.9
Production,Workshop,Q2,April,83.9
Production,Workshop,Q4,May,84.27
Production,Workshop,Q1,June,85.69
Production,Workshop,Q2,November,86.33
Residential,Factory,Q4,November,83.8
Residential,Factory,Q1,October,91.57
Residential,Factory,Q2,January,91.44
Residential,Factory,Q4,March,97.54
Residential,Factory,Q1,February,98.17
Residential,Factory,Q2,April,99.99
Residential,Factory,Q4,May,99.15
Residential,Factory,Q1,June,98.94
Residential,Factory,Q2,November,97.66
