Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2022,Q3,Drowning,Fatal,65.01
Female,2022,Q3,Fire,Serious,67.77
Female,2022,Q3,Traffic,Slight,99.52
Female,2019,Q4,Drowning,Fatal,69.47
Female,2019,Q4,Fire,Serious,30.32
Female,2019,Q4,Traffic,Slight,73.65
Female,2015,Q3,Drowning,Fatal,10.89
Female,2015,Q3,Fire,Serious,10.68
Female,2015,Q3,Traffic,Slight,43.42
Female,2022,Q4,Drowning,Fatal,81.02
Female,2022,Q4,Fire,Serious,84.15
Female,2022,Q4,Traffic,Slight,52.76
Female,2019,Q3,Drowning,Fatal,84.25
Female,2019,Q3,Fire,Serious,55.7
Female,2019,Q3,Traffic,Slight,88.82
Female,2015,Q4,Drowning,Fatal,89.81
Female,2015,Q4,Fire,Serious,30.08
Female,2015,Q4,Traffic,Slight,57.31
