State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Georgia,Washington,Soil,Inferior Irrigation,6.76
Georgia,Washington,Air,Inorganic Fertilizers,7.48
Georgia,Washington,Water,Industrial,7.73
Georgia,Washington,Soil,Urban Activities,15.65
Georgia,Washington,Air,Thermal,19.88
Georgia,Washington,Water,Noise,22.82
Georgia,Washington,Soil,Light,23.7
Georgia,Washington,Air,Chemical,25.12
Georgia,Washington,Water,Oxygen-depletion,27.69
Georgia,Washington,Soil,Surface water,30.61
Georgia,Washington,Air,Inferior Irrigation,33.39
Georgia,Washington,Water,Inorganic Fertilizers,34.97
Minnesota,Albany,Soil,Inferior Irrigation,35.38
Minnesota,Albany,Air,Inorganic Fertilizers,34.17
Minnesota,Albany,Water,Industrial,44.56
Minnesota,Albany,Soil,Urban Activities,45.96
Minnesota,Albany,Air,Thermal,45.62
Minnesota,Albany,Water,Noise,45.36
Minnesota,Albany,Soil,Light,46.15
Minnesota,Albany,Air,Chemical,49.35
Minnesota,Albany,Water,Oxygen-depletion,53.74
Minnesota,Albany,Soil,Surface water,-2.71
Minnesota,Albany,Air,Inferior Irrigation,55.83
Minnesota,Albany,Water,Inorganic Fertilizers,58.96
California,Minneapolis,Soil,Inferior Irrigation,60.71
California,Minneapolis,Air,Inorganic Fertilizers,62.05
California,Minneapolis,Water,Industrial,64.48
California,Minneapolis,Soil,Urban Activities,64.14
California,Minneapolis,Air,Thermal,69.18
California,Minneapolis,Water,Noise,70.61
California,Minneapolis,Soil,Light,72.5
California,Minneapolis,Air,Chemical,75.75
California,Minneapolis,Water,Oxygen-depletion,76.38
California,Minneapolis,Soil,Surface water,79.86
California,Minneapolis,Air,Inferior Irrigation,82.97
California,Minneapolis,Water,Inorganic Fertilizers,86.67
Georgia,Rochester,Soil,Inferior Irrigation,86.98
Georgia,Rochester,Air,Inorganic Fertilizers,88.84
Georgia,Rochester,Water,Industrial,89.53
Georgia,Rochester,Soil,Urban Activities,95.85
Georgia,Rochester,Air,Thermal,-0.87
Georgia,Rochester,Water,Noise,-95.92
Georgia,Rochester,Soil,Light,-94.17
Georgia,Rochester,Air,Chemical,-91.35
Georgia,Rochester,Water,Oxygen-depletion,-87.58
Georgia,Rochester,Soil,Surface water,-85.45
Georgia,Rochester,Air,Inferior Irrigation,-82.14
Georgia,Rochester,Water,Inorganic Fertilizers,-81.0
Minnesota,Berkeley,Soil,Inferior Irrigation,-77.93
Minnesota,Berkeley,Air,Inorganic Fertilizers,-75.88
Minnesota,Berkeley,Water,Industrial,-72.5
Minnesota,Berkeley,Soil,Urban Activities,-71.2
Minnesota,Berkeley,Air,Thermal,-68.01
Minnesota,Berkeley,Water,Noise,-66.51
Minnesota,Berkeley,Soil,Light,-61.31
Minnesota,Berkeley,Air,Chemical,-60.91
Minnesota,Berkeley,Water,Oxygen-depletion,-59.51
Minnesota,Berkeley,Soil,Surface water,-54.62
Minnesota,Berkeley,Air,Inferior Irrigation,-51.66
Minnesota,Berkeley,Water,Inorganic Fertilizers,-44.64
California,Los-Angeles,Soil,Inferior Irrigation,-43.38
California,Los-Angeles,Air,Inorganic Fertilizers,-42.35
California,Los-Angeles,Water,Industrial,-42.26
California,Los-Angeles,Soil,Urban Activities,-42.5
California,Los-Angeles,Air,Thermal,-38.1
California,Los-Angeles,Water,Noise,-37.64
California,Los-Angeles,Soil,Light,-35.97
California,Los-Angeles,Air,Chemical,-34.53
California,Los-Angeles,Water,Oxygen-depletion,-30.95
California,Los-Angeles,Soil,Surface water,-28.76
California,Los-Angeles,Air,Inferior Irrigation,-27.97
California,Los-Angeles,Water,Inorganic Fertilizers,-27.52
Georgia,San Francisco,Soil,Inferior Irrigation,-25.57
Georgia,San Francisco,Air,Inorganic Fertilizers,-21.68
Georgia,San Francisco,Water,Industrial,-21.88
Georgia,San Francisco,Soil,Urban Activities,-16.58
Georgia,San Francisco,Air,Thermal,-15.61
Georgia,San Francisco,Water,Noise,-15.84
Georgia,San Francisco,Soil,Light,-13.71
Georgia,San Francisco,Air,Chemical,-13.25
Georgia,San Francisco,Water,Oxygen-depletion,-10.78
Georgia,San Francisco,Soil,Surface water,-10.87
Georgia,San Francisco,Air,Inferior Irrigation,-6.2
Georgia,San Francisco,Water,Inorganic Fertilizers,-2.85
