Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2022,Humidity,Low,0.36
2022,Wind,Medium,2.62
2022,Temperature,High,3.39
2022,Humidity,Calm,4.58
2022,Wind,Storm,4.53
2022,Temperature,31-40,4.57
2022,Humidity,11-20,8.0
2022,Wind,Low,10.26
2022,Temperature,Medium,10.72
2016,Humidity,Low,13.73
2016,Wind,Medium,14.46
2016,Temperature,High,15.56
2016,Humidity,Calm,16.22
2016,Wind,Storm,17.99
2016,Temperature,31-40,18.0
2016,Humidity,11-20,14.85
2016,Wind,Low,16.98
2016,Temperature,Medium,21.52
2018,Humidity,Low,21.63
2018,Wind,Medium,23.22
2018,Temperature,High,24.32
2018,Humidity,Calm,25.69
2018,Wind,Storm,26.99
2018,Temperature,31-40,22.17
2018,Humidity,11-20,27.83
2018,Wind,Low,20.06
2018,Temperature,Medium,15.48
