Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2018,Q3,Traffic,Slight,65.11
Female,2018,Q3,Fire,Serious,66.79
Female,2018,Q3,Drowning,Slight,67.16
Female,2022,Q2,Traffic,Slight,36.02
Female,2022,Q2,Fire,Serious,68.83
Female,2022,Q2,Drowning,Slight,36.74
Female,2016,Q3,Traffic,Slight,72.48
Female,2016,Q3,Fire,Serious,59.9
Female,2016,Q3,Drowning,Slight,41.2
Female,2018,Q2,Traffic,Slight,76.58
Female,2018,Q2,Fire,Serious,80.02
Female,2018,Q2,Drowning,Slight,81.86
Female,2022,Q3,Traffic,Slight,22.9
Female,2022,Q3,Fire,Serious,95.1
Female,2022,Q3,Drowning,Slight,90.44
Female,2016,Q2,Traffic,Slight,91.56
Female,2016,Q2,Fire,Serious,30.27
Female,2016,Q2,Drowning,Slight,31.14
