Characteristic,Intensity,2018_Massachusetts_Albany,2018_Massachusetts_Boston,2018_Massachusetts_Lenox,2022_Georgia_Cambridge,2022_Georgia_Columbus,2022_Georgia_Washington
Maximum,,17.16,27.95,20.63,16.08,26.19,8.08
,  ,17.16,27.95,20.63,16.08,26.19,8.08
Humidity,,17.16,27.95,20.57,16.08,26.19,8.08
,  11-20,17.16,8.96,3.90,16.08,26.19,8.08
,  Medium,13.33,26.17,20.57,12.47,19.63,5.25
,  Storm,7.92,27.95,5.46,9.35,20.27,1.78
Temperature,,15.00,27.76,20.32,13.51,17.36,5.76
,  31-40,7.61,27.76,16.11,2.68,17.36,0.86
,  Breeze,6.68,5.58,18.21,9.77,17.21,3.49
,  High,15.00,24.20,20.32,13.51,15.94,5.76
Wind,,13.88,27.47,20.63,3.43,20.83,7.48
,  11-20,8.56,27.47,5.12,2.27,17.38,0.68
,  31-40,8.05,7.75,20.63,2.20,20.83,7.48
,  Calm,13.88,26.79,6.80,3.43,18.11,4.31
