Category,Item,Import_2016_Q2,Import_2019_Q2,Import_2022_Q2,Average
Beverage,,467.87,509.37,750.18,575.81
,  Butter,52.46,586.93,826.92,488.77
,  Cream,710.33,282.47,590.69,527.83
,  Duck,640.84,658.70,832.93,710.82
Dairy,,630.80,525.67,615.05,590.51
,  Beef,632.85,651.77,443.42,576.01
,  Cream,681.25,584.21,950.99,738.82
,  Juice,578.31,341.03,450.73,456.69
Meat,,508.39,507.56,831.64,615.86
,  Pork,638.48,528.80,576.31,581.20
,  Tea,325.24,472.56,964.93,587.57
,  Yoghurt,561.44,521.30,953.68,678.81
