Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2018,Temperature,11-20,0.54
2018,Wind,21-30,1.52
2018,Humidity,Storm,2.69
2018,Temperature,Calm,3.48
2018,Wind,Breeze,3.67
2018,Humidity,High,2.47
2018,Temperature,Medium,5.3
2018,Wind,11-20,3.93
2018,Humidity,21-30,11.19
2021,Temperature,11-20,12.53
2021,Wind,21-30,13.82
2021,Humidity,Storm,15.5
2021,Temperature,Calm,16.99
2021,Wind,Breeze,18.13
2021,Humidity,High,18.6
2021,Temperature,Medium,18.84
2021,Wind,11-20,21.42
2021,Humidity,21-30,21.15
2022,Temperature,11-20,23.64
2022,Wind,21-30,24.23
2022,Humidity,Storm,25.09
2022,Temperature,Calm,22.0
2022,Wind,Breeze,27.54
2022,Humidity,High,21.96
2022,Temperature,Medium,21.27
2022,Wind,11-20,25.02
2022,Humidity,21-30,21.2
