Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,Apartment,Q3,August,0.85
Residential,Apartment,Q2,September,7.16
Residential,Apartment,Q3,June,8.69
Residential,Apartment,Q2,May,15.86
Culture,Hotel,Q3,August,19.7
Culture,Hotel,Q2,September,20.67
Culture,Hotel,Q3,June,26.39
Culture,Hotel,Q2,May,34.69
Residential,Concert,Q3,August,49.21
Residential,Concert,Q2,September,52.32
Residential,Concert,Q3,June,55.68
Residential,Concert,Q2,May,59.71
Culture,Theatre,Q3,August,68.54
Culture,Theatre,Q2,September,71.15
Culture,Theatre,Q3,June,76.87
Culture,Theatre,Q2,May,78.16
Residential,Museum,Q3,August,83.55
Residential,Museum,Q2,September,89.07
Residential,Museum,Q3,June,98.12
Residential,Museum,Q2,May,99.95
