Quarter,Month,Culture_Concert,Culture_Hospital,Production_School,Production_Theatre,Production_Workshop,Service_Factory,Service_Library,Minimum
Q1,,80.89,23.28,44.07,94.05,8.14,15.44,62.03,8.14
,  August,80.89,23.28,44.07,94.05,8.14,15.44,62.03,8.14
,  December,89.00,41.61,54.05,96.15,14.20,25.16,77.71,14.20
,  January,84.10,38.05,47.99,97.57,8.27,21.53,71.92,8.27
Q3,,79.22,26.05,43.97,92.31,4.12,16.62,58.24,4.12
,  March,81.95,33.79,46.78,96.20,10.85,21.68,67.60,10.85
,  October,88.58,40.87,50.21,99.17,9.28,24.62,76.62,9.28
,  September,79.22,26.05,43.97,92.31,4.12,16.62,58.24,4.12
Q4,,79.13,33.57,45.85,94.59,9.24,18.73,66.72,9.24
,  July,79.13,33.57,45.85,94.92,9.24,18.73,66.72,9.24
,  November,84.05,38.48,48.57,98.50,9.30,23.64,72.94,9.30
,  September,89.98,42.67,58.28,94.59,12.58,24.21,77.36,12.58
Minimum,,79.13,23.28,43.97,92.31,4.12,15.44,58.24,4.12
,  ,79.13,23.28,43.97,92.31,4.12,15.44,58.24,4.12
