Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Hospital,Q2,May,6.46
Service,Hospital,Q3,April,12.55
Service,Hospital,Q2,July,17.4
Service,Hospital,Q3,September,18.46
Production,Administration,Q2,May,19.03
Production,Administration,Q3,April,19.28
Production,Administration,Q2,July,23.94
Production,Administration,Q3,September,30.22
Service,Library,Q2,May,39.13
Service,Library,Q3,April,46.98
Service,Library,Q2,July,49.4
Service,Library,Q3,September,49.77
Production,Factory,Q2,May,54.37
Production,Factory,Q3,April,65.16
Production,Factory,Q2,July,65.72
Production,Factory,Q3,September,71.28
Service,Workshop,Q2,May,74.2
Service,Workshop,Q3,April,75.45
Service,Workshop,Q2,July,84.1
Service,Workshop,Q3,September,92.15
