Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Production,Factory,Q1,January,Maryland,Columbia,7.9
Production,Factory,Q3,February,Massachusetts,Baltimore,9.94
Production,Factory,Q2,September,Maryland,Cambridge,11.88
Production,Factory,Q1,July,Massachusetts,Boston,15.51
Production,Factory,Q3,August,Maryland,Columbia,15.23
Production,Factory,Q2,June,Massachusetts,Baltimore,22.38
Production,Factory,Q1,April,Maryland,Cambridge,23.77
Production,Factory,Q3,May,Massachusetts,Boston,27.11
Production,Factory,Q2,January,Maryland,Columbia,28.12
Culture,Workshop,Q1,January,Maryland,Columbia,27.32
Culture,Workshop,Q3,February,Massachusetts,Baltimore,30.51
Culture,Workshop,Q2,September,Maryland,Cambridge,31.08
Culture,Workshop,Q1,July,Massachusetts,Boston,34.2
Culture,Workshop,Q3,August,Maryland,Columbia,36.55
Culture,Workshop,Q2,June,Massachusetts,Baltimore,39.52
Culture,Workshop,Q1,April,Maryland,Cambridge,40.2
Culture,Workshop,Q3,May,Massachusetts,Boston,41.44
Culture,Workshop,Q2,January,Maryland,Columbia,40.49
Residential,Theatre,Q1,January,Maryland,Columbia,43.41
Residential,Theatre,Q3,February,Massachusetts,Baltimore,41.1
Residential,Theatre,Q2,September,Maryland,Cambridge,40.44
Residential,Theatre,Q1,July,Massachusetts,Boston,46.5
Residential,Theatre,Q3,August,Maryland,Columbia,46.27
Residential,Theatre,Q2,June,Massachusetts,Baltimore,47.89
Residential,Theatre,Q1,April,Maryland,Cambridge,49.36
Residential,Theatre,Q3,May,Massachusetts,Boston,49.61
Residential,Theatre,Q2,January,Maryland,Columbia,51.42
Production,Museum,Q1,January,Maryland,Columbia,45.91
Production,Museum,Q3,February,Massachusetts,Baltimore,53.04
Production,Museum,Q2,September,Maryland,Cambridge,50.25
Production,Museum,Q1,July,Massachusetts,Boston,55.21
Production,Museum,Q3,August,Maryland,Columbia,56.06
Production,Museum,Q2,June,Massachusetts,Baltimore,56.15
Production,Museum,Q1,April,Maryland,Cambridge,62.01
Production,Museum,Q3,May,Massachusetts,Boston,63.65
Production,Museum,Q2,January,Maryland,Columbia,63.48
Culture,Hotel,Q1,January,Maryland,Columbia,65.23
Culture,Hotel,Q3,February,Massachusetts,Baltimore,66.35
Culture,Hotel,Q2,September,Maryland,Cambridge,63.96
Culture,Hotel,Q1,July,Massachusetts,Boston,69.81
Culture,Hotel,Q3,August,Maryland,Columbia,73.86
Culture,Hotel,Q2,June,Massachusetts,Baltimore,74.17
Culture,Hotel,Q1,April,Maryland,Cambridge,75.35
Culture,Hotel,Q3,May,Massachusetts,Boston,76.13
Culture,Hotel,Q2,January,Maryland,Columbia,73.28
Residential,Apartment,Q1,January,Maryland,Columbia,73.14
Residential,Apartment,Q3,February,Massachusetts,Baltimore,80.02
Residential,Apartment,Q2,September,Maryland,Cambridge,82.52
Residential,Apartment,Q1,July,Massachusetts,Boston,93.91
Residential,Apartment,Q3,August,Maryland,Columbia,98.94
Residential,Apartment,Q2,June,Massachusetts,Baltimore,99.26
Residential,Apartment,Q1,April,Maryland,Cambridge,98.22
Residential,Apartment,Q3,May,Massachusetts,Boston,98.81
Residential,Apartment,Q2,January,Maryland,Columbia,98.56
