Characteristic,Intensity,2016_California_Los-Angeles,2016_California_Portland,2021_Oregon_Malibu,2021_Oregon_Salem
Humidity,,4.86,24.79,16.15,27.50
,  11-20,1.60,19.78,10.71,27.50
,  31-40,4.62,24.79,16.15,18.28
,  High,4.86,22.33,7.31,0.10
Temperature,,2.08,23.11,15.67,27.01
,  31-40,0.50,18.41,6.42,27.01
,  Breeze,2.08,23.11,15.67,17.09
,  Medium,0.26,21.63,12.06,23.95
Wind,,8.44,25.43,15.86,24.97
,  0-10,2.72,19.66,11.09,24.97
,  11-20,8.44,25.43,15.86,18.66
,  Calm,4.03,23.53,14.06,15.13
Maximum,,8.44,25.43,16.15,27.50
,  ,8.44,25.43,16.15,27.50
