Polluted element,Type of pollution,Massachusetts_Cambridge,Massachusetts_Lenox,Massachusetts_Port Huron,Michigan_Boston,Michigan_Detroit
Air,Groundwater,-83.16,7.52,-41.82,28.97,-64.83
,Industrial,53.64,19.92,-16.27,-92.15,81.51
,Inorganic Fertilizers,-72.88,20.43,-12.69,-89.31,84.28
,Light,-80.37,28.74,-31.57,32.15,-51.87
,Urban Activities,39.95,4.09,-41.53,27.02,59.27
Soil,Chemical,-80.73,10.32,95.06,31.04,-62.20
,Inferior Irrigation,-97.29,-0.99,-43.04,23.81,55.29
,Solid Waste,43.21,5.26,88.88,28.34,-67.52
,Thermal,51.57,16.05,99.54,27.64,78.95
,Urban Activities,54.79,20.96,-12.55,36.86,82.34
Water,Industrial,41.92,2.56,85.50,24.59,-70.82
,Inferior Irrigation,-77.21,18.00,-25.50,-93.52,-52.41
,Inorganic Fertilizers,45.06,6.79,-43.18,-99.10,61.93
,Noise,-79.58,12.41,-32.84,-99.14,76.91
,Solid Waste,-74.03,21.04,-12.33,-91.48,-45.50
