Polluted element,Type of pollution,California_Berkeley_2022,California_Detroit_2016,Michigan_Los-Angeles_2016,Michigan_Reno_2022,Nevada_Las Vegas_2016,Nevada_Malibu_2016,Nevada_Port Huron_2022
Air,,-39.39,74.55,-73.03,48.45,20.00,-15.26,-68.89
,  Chemical,-40.74,72.59,-68.99,48.86,17.88,-15.40,2.55
,  Inferior Irrigation,-37.17,75.88,-74.43,47.10,21.64,-16.33,-91.62
,  Inorganic Fertilizers,-47.71,71.64,-87.25,42.61,13.55,-18.81,-97.93
,  Noise,-31.95,78.08,-61.44,55.25,26.93,-10.50,-88.58
Soil,,-41.52,73.49,-76.25,44.34,16.89,-17.37,-70.37
,  Groundwater,-41.61,71.98,-69.91,48.23,15.64,-16.83,0.31
,  Solid Waste,-40.07,73.79,-77.40,38.27,16.58,-15.52,-92.25
,  Thermal,-35.51,77.25,-71.40,53.79,22.75,-11.51,-90.49
,  Urban Activities,-48.87,70.93,-86.28,37.09,12.58,-25.63,-99.06
Water,,-44.52,70.41,-77.14,44.01,15.20,-17.90,-23.96
,  Industrial,-47.88,73.63,-82.80,38.46,14.55,-16.16,-95.27
,  Light,-37.32,76.01,-72.92,50.11,22.73,-12.38,-90.71
,  Oxygen-depletion,-50.49,62.51,-81.17,39.94,9.39,-24.84,91.84
,  Surface water,-42.39,69.48,-71.68,47.55,14.12,-18.23,-1.72
