Polluted element,Type of pollution,Georgia_Columbus_2020,Georgia_Minneapolis_2015,Minnesota_Hastings_2016,Minnesota_Rochester_2022,Minnesota_Washington_2016,Average
Air,Chemical,-46.20,-91.33,-0.01,-71.41,-18.78,-45.55
,Inferior Irrigation,93.95,40.53,29.31,64.38,-13.78,42.88
,Noise,66.71,-95.62,-0.95,48.60,96.54,23.06
,Surface water,71.67,-92.97,6.13,-72.50,-28.07,-23.15
Soil,Inorganic Fertilizers,-36.71,41.80,27.44,-68.27,-14.32,-10.01
,Light,95.66,-84.45,-97.19,65.16,-1.20,-4.40
,Oxygen-depletion,75.42,-90.05,8.76,-71.12,-19.29,-19.26
,Thermal,70.24,-97.52,5.87,55.48,97.68,26.35
Water,Groundwater,-54.75,37.19,7.45,57.03,-23.52,4.68
,Light,69.66,-95.35,2.00,48.52,95.19,24.00
,Noise,-34.15,32.14,31.72,65.87,-11.34,16.85
,Urban Activities,-43.76,-96.60,21.53,60.87,-16.13,-14.82
