Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Production,Factory,Q3,July,Michigan,Port Huron,2.17
Production,Factory,Q4,August,Michigan,Detroit,3.68
Production,Factory,Q1,September,Michigan,Port Huron,7.52
Production,Factory,Q3,November,Michigan,Detroit,8.71
Production,Factory,Q4,October,Michigan,Port Huron,8.76
Production,Factory,Q1,December,Michigan,Detroit,11.5
Production,Factory,Q3,March,Michigan,Port Huron,13.78
Production,Factory,Q4,January,Michigan,Detroit,14.66
Production,Factory,Q1,February,Michigan,Port Huron,15.65
Service,Workshop,Q3,July,Michigan,Port Huron,15.25
Service,Workshop,Q4,August,Michigan,Detroit,19.55
Service,Workshop,Q1,September,Michigan,Port Huron,27.74
Service,Workshop,Q3,November,Michigan,Detroit,28.0
Service,Workshop,Q4,October,Michigan,Port Huron,30.19
Service,Workshop,Q1,December,Michigan,Detroit,31.07
Service,Workshop,Q3,March,Michigan,Port Huron,31.49
Service,Workshop,Q4,January,Michigan,Detroit,33.58
Service,Workshop,Q1,February,Michigan,Port Huron,30.46
Culture,School,Q3,July,Michigan,Port Huron,36.04
Culture,School,Q4,August,Michigan,Detroit,37.05
Culture,School,Q1,September,Michigan,Port Huron,39.11
Culture,School,Q3,November,Michigan,Detroit,42.77
Culture,School,Q4,October,Michigan,Port Huron,45.21
Culture,School,Q1,December,Michigan,Detroit,46.55
Culture,School,Q3,March,Michigan,Port Huron,48.24
Culture,School,Q4,January,Michigan,Detroit,50.68
Culture,School,Q1,February,Michigan,Port Huron,50.31
Production,Administration,Q3,July,Michigan,Port Huron,53.35
Production,Administration,Q4,August,Michigan,Detroit,54.74
Production,Administration,Q1,September,Michigan,Port Huron,55.62
Production,Administration,Q3,November,Michigan,Detroit,56.06
Production,Administration,Q4,October,Michigan,Port Huron,60.03
Production,Administration,Q1,December,Michigan,Detroit,61.97
Production,Administration,Q3,March,Michigan,Port Huron,61.69
Production,Administration,Q4,January,Michigan,Detroit,63.92
Production,Administration,Q1,February,Michigan,Port Huron,64.62
Service,Museum,Q3,July,Michigan,Port Huron,63.18
Service,Museum,Q4,August,Michigan,Detroit,66.57
Service,Museum,Q1,September,Michigan,Port Huron,66.73
Service,Museum,Q3,November,Michigan,Detroit,67.92
Service,Museum,Q4,October,Michigan,Port Huron,70.49
Service,Museum,Q1,December,Michigan,Detroit,74.29
Service,Museum,Q3,March,Michigan,Port Huron,77.42
Service,Museum,Q4,January,Michigan,Detroit,78.82
Service,Museum,Q1,February,Michigan,Port Huron,79.62
Culture,Theatre,Q3,July,Michigan,Port Huron,86.21
Culture,Theatre,Q4,August,Michigan,Detroit,87.3
Culture,Theatre,Q1,September,Michigan,Port Huron,91.45
Culture,Theatre,Q3,November,Michigan,Detroit,92.81
Culture,Theatre,Q4,October,Michigan,Port Huron,92.52
Culture,Theatre,Q1,December,Michigan,Detroit,93.97
Culture,Theatre,Q3,March,Michigan,Port Huron,95.81
Culture,Theatre,Q4,January,Michigan,Detroit,96.33
Culture,Theatre,Q1,February,Michigan,Port Huron,94.2
