Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Workshop,Q1,February,2.05
Production,Workshop,Q2,January,4.01
Production,Workshop,Q3,April,5.65
Production,Workshop,Q1,June,7.52
Production,Workshop,Q2,May,12.27
Production,Workshop,Q3,July,14.05
Production,Workshop,Q1,August,21.55
Production,Workshop,Q2,September,22.72
Production,Workshop,Q3,February,23.09
Culture,Factory,Q1,February,25.65
Culture,Factory,Q2,January,26.65
Culture,Factory,Q3,April,25.48
Culture,Factory,Q1,June,29.02
Culture,Factory,Q2,May,30.34
Culture,Factory,Q3,July,31.7
Culture,Factory,Q1,August,32.7
Culture,Factory,Q2,September,34.97
Culture,Factory,Q3,February,36.82
Residential,Museum,Q1,February,36.62
Residential,Museum,Q2,January,38.74
Residential,Museum,Q3,April,38.35
Residential,Museum,Q1,June,41.6
Residential,Museum,Q2,May,44.48
Residential,Museum,Q3,July,44.62
Residential,Museum,Q1,August,46.84
Residential,Museum,Q2,September,47.81
Residential,Museum,Q3,February,47.99
Production,Theatre,Q1,February,47.31
Production,Theatre,Q2,January,47.3
Production,Theatre,Q3,April,51.83
Production,Theatre,Q1,June,52.46
Production,Theatre,Q2,May,53.65
Production,Theatre,Q3,July,53.0
Production,Theatre,Q1,August,54.54
Production,Theatre,Q2,September,56.42
Production,Theatre,Q3,February,57.98
Culture,Concert,Q1,February,56.68
Culture,Concert,Q2,January,60.48
Culture,Concert,Q3,April,60.67
Culture,Concert,Q1,June,62.65
Culture,Concert,Q2,May,62.98
Culture,Concert,Q3,July,64.9
Culture,Concert,Q1,August,64.33
Culture,Concert,Q2,September,64.72
Culture,Concert,Q3,February,63.98
Residential,House,Q1,February,68.59
Residential,House,Q2,January,69.93
Residential,House,Q3,April,70.15
Residential,House,Q1,June,73.41
Residential,House,Q2,May,73.8
Residential,House,Q3,July,73.92
Residential,House,Q1,August,75.61
Residential,House,Q2,September,78.03
Residential,House,Q3,February,80.4
Production,Apartment,Q1,February,81.76
Production,Apartment,Q2,January,82.12
Production,Apartment,Q3,April,80.92
Production,Apartment,Q1,June,84.31
Production,Apartment,Q2,May,80.0
Production,Apartment,Q3,July,83.13
Production,Apartment,Q1,August,82.76
Production,Apartment,Q2,September,89.86
Production,Apartment,Q3,February,90.75
Culture,Hotel,Q1,February,91.14
Culture,Hotel,Q2,January,93.34
Culture,Hotel,Q3,April,94.33
Culture,Hotel,Q1,June,95.38
Culture,Hotel,Q2,May,96.87
Culture,Hotel,Q3,July,44.9
Culture,Hotel,Q1,August,98.22
Culture,Hotel,Q2,September,99.91
Culture,Hotel,Q3,February,99.05
