Characteristic,Intensity,2015_Massachusetts_Las Vegas,2015_Massachusetts_Lenox,2022_Nevada_Cambridge,2022_Nevada_Reno
Humidity,,27.10,9.97,18.71,23.93
,  21-30,19.65,4.03,11.01,10.39
,  Breeze,27.10,9.97,18.71,21.75
,  Storm,21.65,1.70,11.09,23.93
Temperature,,25.84,2.39,13.91,27.25
,  31-40,23.48,1.49,10.95,25.80
,  Calm,20.27,1.82,11.60,27.25
,  Medium,25.84,2.39,13.91,19.15
Wind,,25.22,7.51,13.83,25.86
,  11-20,18.46,2.69,13.83,25.86
,  Breeze,19.91,1.58,10.13,25.76
,  Low,25.22,7.51,11.93,16.93
Maximum,,27.10,9.97,18.71,27.25
,  ,27.10,9.97,18.71,27.25
