Polluted element,Type of pollution,California_Berkeley_2016,California_Reno_2016,California_San Francisco_2016,Nevada_Boulder City_2019,Nevada_Las Vegas_2019,Nevada_Malibu_2019
Air,Groundwater,85.69,-96.01,-13.07,21.77,73.50,-29.24
,Inorganic Fertilizers,84.50,-92.69,-27.61,8.81,-62.43,93.68
,Light,-47.81,-95.31,-6.52,1.03,56.57,-35.02
,Surface water,-40.25,38.49,-3.94,-98.02,-50.54,-31.51
Soil,Chemical,88.70,-90.06,-10.69,24.45,-53.51,-28.91
,Inferior Irrigation,-43.74,36.69,-14.74,12.55,69.30,-31.53
,Light,85.38,-79.15,-2.68,-97.56,-49.91,-25.65
,Noise,82.09,34.77,-22.91,7.74,59.87,94.44
Water,Industrial,-45.58,-94.88,96.79,8.14,61.46,95.52
,Noise,92.01,53.25,-1.16,-96.54,-48.68,-24.94
,Oxygen-depletion,88.82,41.71,-6.86,29.52,-52.43,-29.11
,Solid Waste,-42.48,-96.80,-14.69,-48.05,71.03,95.42
