Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,Hotel,Q2,May,0.78
Residential,Hotel,Q1,April,2.75
Residential,Hotel,Q4,February,4.63
Residential,Hotel,Q2,January,16.6
Residential,Hotel,Q1,December,20.13
Residential,Hotel,Q4,November,23.22
Production,House,Q2,May,26.69
Production,House,Q1,April,34.56
Production,House,Q4,February,40.88
Production,House,Q2,January,46.81
Production,House,Q1,December,50.88
Production,House,Q4,November,50.23
Residential,Apartment,Q2,May,54.79
Residential,Apartment,Q1,April,54.87
Residential,Apartment,Q4,February,63.96
Residential,Apartment,Q2,January,64.97
Residential,Apartment,Q1,December,64.92
Residential,Apartment,Q4,November,66.52
Production,Workshop,Q2,May,67.87
Production,Workshop,Q1,April,70.57
Production,Workshop,Q4,February,70.94
Production,Workshop,Q2,January,80.35
Production,Workshop,Q1,December,85.51
Production,Workshop,Q4,November,87.1
Residential,Factory,Q2,May,89.09
Residential,Factory,Q1,April,91.2
Residential,Factory,Q4,February,91.14
Residential,Factory,Q2,January,94.69
Residential,Factory,Q1,December,99.68
Residential,Factory,Q4,November,99.21
