Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,House,Q4,December,2.07
Residential,House,Q1,October,4.17
Residential,House,Q4,February,10.97
Residential,House,Q1,January,12.94
Residential,House,Q4,March,12.87
Residential,House,Q1,December,18.71
Culture,Hotel,Q4,December,20.69
Culture,Hotel,Q1,October,21.94
Culture,Hotel,Q4,February,22.3
Culture,Hotel,Q1,January,26.11
Culture,Hotel,Q4,March,28.69
Culture,Hotel,Q1,December,30.26
Production,Concert,Q4,December,31.64
Production,Concert,Q1,October,0.11
Production,Concert,Q4,February,35.7
Production,Concert,Q1,January,35.67
Production,Concert,Q4,March,38.17
Production,Concert,Q1,December,43.96
Residential,Theatre,Q4,December,44.91
Residential,Theatre,Q1,October,52.74
Residential,Theatre,Q4,February,52.25
Residential,Theatre,Q1,January,54.24
Residential,Theatre,Q4,March,55.33
Residential,Theatre,Q1,December,55.94
Culture,Museum,Q4,December,58.29
Culture,Museum,Q1,October,59.01
Culture,Museum,Q4,February,60.99
Culture,Museum,Q1,January,61.27
Culture,Museum,Q4,March,67.4
Culture,Museum,Q1,December,70.78
Production,Factory,Q4,December,73.39
Production,Factory,Q1,October,75.56
Production,Factory,Q4,February,76.83
Production,Factory,Q1,January,78.86
Production,Factory,Q4,March,83.38
Production,Factory,Q1,December,87.92
Residential,Workshop,Q4,December,91.34
Residential,Workshop,Q1,October,94.87
Residential,Workshop,Q4,February,95.09
Residential,Workshop,Q1,January,96.77
Residential,Workshop,Q4,March,95.7
Residential,Workshop,Q1,December,97.88
