Quarter,Month,Production_Administration,Production_Factory,Service_Hospital,Service_Workshop
Minimum,,26.33,73.04,3.37,53.48
,  ,26.33,73.04,3.37,53.48
Q1,,26.33,73.04,3.76,53.48
,  February,26.33,73.04,3.76,53.48
,  July,31.72,88.66,11.73,56.37
,  June,43.37,95.07,17.22,62.70
Q2,,30.24,77.65,9.08,55.71
,  January,30.24,77.65,9.08,55.71
,  March,50.24,98.10,23.72,72.20
,  May,39.32,94.23,15.66,59.26
Q3,,29.57,74.13,3.37,54.34
,  February,43.60,98.99,18.96,65.63
,  March,29.57,74.13,3.37,54.34
,  September,31.33,90.52,12.57,58.41
