Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Wind,Breeze,1.84
2015,Temperature,Storm,2.75
2015,Humidity,11-20,3.57
2015,Wind,31-40,4.23
2015,Temperature,High,5.24
2015,Humidity,Low,3.5
2015,Wind,Medium,7.05
2015,Temperature,Breeze,8.91
2015,Humidity,Storm,9.8
2021,Wind,Breeze,10.31
2021,Temperature,Storm,10.05
2021,Humidity,11-20,8.53
2021,Wind,31-40,13.56
2021,Temperature,High,13.61
2021,Humidity,Low,10.68
2021,Wind,Medium,16.2
2021,Temperature,Breeze,9.16
2021,Humidity,Storm,19.58
2016,Wind,Breeze,20.99
2016,Temperature,Storm,19.29
2016,Humidity,11-20,22.98
2016,Wind,31-40,23.14
2016,Temperature,High,24.75
2016,Humidity,Low,24.06
2016,Wind,Medium,23.34
2016,Temperature,Breeze,3.12
2016,Humidity,Storm,4.31
