Polluted element,Type of pollution,Florida_Fort Lauderdale_2018,Florida_Portland_2022,Florida_Redmond_2018,Oregon_Salem_2020,Oregon_Tampa_2016,Average
Air,,-11.38,-28.49,9.53,22.01,-51.18,-11.90
,  Groundwater,0.24,-66.00,95.42,80.56,-91.99,3.65
,  Industrial,-97.97,-58.78,-16.76,87.53,-81.20,-33.44
,  Light,18.06,-62.95,-27.70,-44.48,-83.87,-40.19
,  Surface water,34.13,73.78,-12.84,-35.57,52.34,22.37
Soil,,-9.37,4.77,10.88,56.15,-17.40,9.01
,  Chemical,34.40,-51.72,-10.03,-34.00,53.83,-1.50
,  Oxygen-depletion,-96.26,70.35,-16.26,90.40,-79.94,-6.34
,  Surface water,5.35,63.14,94.37,81.71,39.48,56.81
,  Thermal,19.04,-62.69,-24.56,86.47,-82.95,-12.94
Water,,-14.97,-32.10,7.78,21.04,-53.18,-14.29
,  Chemical,7.94,64.46,-28.79,82.97,-87.22,7.87
,  Groundwater,30.06,-58.00,-14.72,-36.93,50.70,-5.78
,  Oxygen-depletion,0.65,-75.63,94.19,79.20,-93.01,1.08
,  Solid Waste,-98.54,-59.24,-19.55,-41.10,-83.20,-60.33
