Characteristic,Intensity,2016_Georgia_Albany,2016_Georgia_Baltimore,2020_Maryland_Aberdeen,2020_Maryland_Columbia,2020_Maryland_Washington
Humidity,,24.90,17.29,26.84,5.59,24.95
,  21-30,24.90,14.78,23.28,5.59,16.11
,  Calm,21.33,11.13,19.73,1.25,11.50
,  Low,10.55,17.29,26.84,5.17,24.95
Temperature,,23.36,12.34,22.02,3.98,19.92
,  11-20,0.25,12.34,21.37,3.98,13.31
,  Medium,8.01,10.74,22.02,3.30,19.92
,  Storm,23.36,10.79,18.47,1.57,11.71
Wind,,26.66,15.09,21.56,1.65,17.76
,  0-10,25.90,12.74,21.56,1.65,13.12
,  Breeze,21.03,1.18,18.61,0.78,1.95
,  High,26.66,15.09,15.88,1.56,17.76
Maximum,,26.66,17.29,26.84,5.59,24.95
,  ,26.66,17.29,26.84,5.59,24.95
