Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Factory,Q4,December,0.3
Production,Factory,Q3,November,2.75
Production,Factory,Q4,October,3.49
Production,Factory,Q3,August,5.99
Production,Factory,Q4,July,8.95
Production,Factory,Q3,December,14.58
Culture,Workshop,Q4,December,17.56
Culture,Workshop,Q3,November,17.63
Culture,Workshop,Q4,October,22.71
Culture,Workshop,Q3,August,25.93
Culture,Workshop,Q4,July,26.2
Culture,Workshop,Q3,December,29.77
Residential,Museum,Q4,December,32.74
Residential,Museum,Q3,November,42.67
Residential,Museum,Q4,October,45.18
Residential,Museum,Q3,August,46.69
Residential,Museum,Q4,July,46.7
Residential,Museum,Q3,December,45.19
Production,Concert,Q4,December,49.05
Production,Concert,Q3,November,55.13
Production,Concert,Q4,October,56.86
Production,Concert,Q3,August,58.88
Production,Concert,Q4,July,62.76
Production,Concert,Q3,December,67.47
Culture,Apartment,Q4,December,68.6
Culture,Apartment,Q3,November,70.86
Culture,Apartment,Q4,October,78.18
Culture,Apartment,Q3,August,82.22
Culture,Apartment,Q4,July,83.41
Culture,Apartment,Q3,December,84.15
Residential,Hotel,Q4,December,87.0
Residential,Hotel,Q3,November,91.86
Residential,Hotel,Q4,October,92.85
Residential,Hotel,Q3,August,97.84
Residential,Hotel,Q4,July,99.24
Residential,Hotel,Q3,December,99.03
