Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Culture,Theatre,Q2,June,2.88
Culture,Theatre,Q4,April,5.39
Culture,Theatre,Q2,November,7.51
Culture,Theatre,Q4,December,10.9
Service,Concert,Q2,June,18.11
Service,Concert,Q4,April,20.45
Service,Concert,Q2,November,34.8
Service,Concert,Q4,December,34.49
Culture,Museum,Q2,June,34.88
Culture,Museum,Q4,April,38.3
Culture,Museum,Q2,November,39.59
Culture,Museum,Q4,December,45.39
Service,Library,Q2,June,45.74
Service,Library,Q4,April,52.47
Service,Library,Q2,November,53.73
Service,Library,Q4,December,67.36
Culture,School,Q2,June,68.5
Culture,School,Q4,April,70.67
Culture,School,Q2,November,71.51
Culture,School,Q4,December,84.3
Service,Hospital,Q2,June,87.87
Service,Hospital,Q4,April,88.99
Service,Hospital,Q2,November,90.01
Service,Hospital,Q4,December,92.61
