Quarter,Month,Culture_Hotel,Culture_House,Culture_Theatre,Residential_Apartment,Residential_Museum,State,City
Minimum,,38.28,81.74,2.12,54.95,23.55,,
,  ,38.28,81.74,2.12,54.95,23.55,,
Q2,,39.25,83.38,2.86,57.58,24.10,,
,  December,39.25,83.38,2.86,57.58,24.10,Georgia,Washington
,  June,44.15,89.49,14.75,72.89,24.56,Georgia,Washington
,  September,53.68,97.23,20.36,75.05,30.96,Georgia,Washington
Q3,,40.45,87.64,6.52,63.72,25.97,,
,  May,48.87,95.25,16.52,74.87,30.83,Georgia,Washington
,  November,54.98,99.56,22.41,76.49,32.86,Georgia,Washington
,  October,40.45,87.64,6.52,63.72,25.97,Georgia,Washington
Q4,,38.28,81.74,2.12,54.95,23.55,,
,  April,42.18,88.17,7.42,63.91,25.35,Georgia,Washington
,  July,50.02,96.86,19.02,74.81,31.81,Georgia,Washington
,  November,38.28,81.74,2.12,54.95,23.55,Georgia,Washington
