Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Service,Administration,Q2,June,Michigan,Flint,0.64
Service,Administration,Q1,May,Illinois,Springfield,2.14
Service,Administration,Q4,April,Michigan,Chicago,2.61
Service,Administration,Q2,February,Illinois,Flint,4.65
Service,Administration,Q1,March,Michigan,Springfield,5.34
Service,Administration,Q4,November,Illinois,Chicago,5.38
Service,Administration,Q2,October,Michigan,Flint,7.69
Service,Administration,Q1,June,Illinois,Springfield,14.41
Service,Administration,Q4,May,Michigan,Chicago,16.09
Production,School,Q2,June,Michigan,Flint,17.43
Production,School,Q1,May,Illinois,Springfield,17.65
Production,School,Q4,April,Michigan,Chicago,23.86
Production,School,Q2,February,Illinois,Flint,24.99
Production,School,Q1,March,Michigan,Springfield,27.03
Production,School,Q4,November,Illinois,Chicago,27.93
Production,School,Q2,October,Michigan,Flint,30.72
Production,School,Q1,June,Illinois,Springfield,32.86
Production,School,Q4,May,Michigan,Chicago,36.23
Service,Hospital,Q2,June,Michigan,Flint,36.09
Service,Hospital,Q1,May,Illinois,Springfield,43.87
Service,Hospital,Q4,April,Michigan,Chicago,44.67
Service,Hospital,Q2,February,Illinois,Flint,45.2
Service,Hospital,Q1,March,Michigan,Springfield,47.77
Service,Hospital,Q4,November,Illinois,Chicago,48.62
Service,Hospital,Q2,October,Michigan,Flint,47.27
Service,Hospital,Q1,June,Illinois,Springfield,47.13
Service,Hospital,Q4,May,Michigan,Chicago,51.62
Production,Factory,Q2,June,Michigan,Flint,48.7
Production,Factory,Q1,May,Illinois,Springfield,53.02
Production,Factory,Q4,April,Michigan,Chicago,54.82
Production,Factory,Q2,February,Illinois,Flint,60.41
Production,Factory,Q1,March,Michigan,Springfield,61.06
Production,Factory,Q4,November,Illinois,Chicago,62.03
Production,Factory,Q2,October,Michigan,Flint,63.29
Production,Factory,Q1,June,Illinois,Springfield,0.23
Production,Factory,Q4,May,Michigan,Chicago,62.46
Service,Workshop,Q2,June,Michigan,Flint,65.85
Service,Workshop,Q1,May,Illinois,Springfield,67.47
Service,Workshop,Q4,April,Michigan,Chicago,71.8
Service,Workshop,Q2,February,Illinois,Flint,72.1
Service,Workshop,Q1,March,Michigan,Springfield,74.3
Service,Workshop,Q4,November,Illinois,Chicago,77.15
Service,Workshop,Q2,October,Michigan,Flint,86.62
Service,Workshop,Q1,June,Illinois,Springfield,88.0
Service,Workshop,Q4,May,Michigan,Chicago,99.7
