Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2020,Illinois,Chicago,Temperature,31-40,0.7
2020,Illinois,Chicago,Humidity,0-10,1.83
2020,Illinois,Chicago,Temperature,High,6.69
2020,Illinois,Chicago,Humidity,Low,7.02
2017,Oregon,Springfield,Temperature,31-40,8.04
2017,Oregon,Springfield,Humidity,0-10,9.45
2017,Oregon,Springfield,Temperature,High,6.95
2017,Oregon,Springfield,Humidity,Low,10.69
2020,Illinois,Redmond,Temperature,31-40,13.94
2020,Illinois,Redmond,Humidity,0-10,15.07
2020,Illinois,Redmond,Temperature,High,16.12
2020,Illinois,Redmond,Humidity,Low,16.96
2017,Oregon,Salem,Temperature,31-40,20.26
2017,Oregon,Salem,Humidity,0-10,23.42
2017,Oregon,Salem,Temperature,High,26.47
2017,Oregon,Salem,Humidity,Low,27.58
