Quarter,Month,Production_House,Production_Library,Residential_Apartment,Residential_Hospital,Residential_Workshop,Service_Factory,Service_Hotel,Service_School,State,City
Q1,,59.02,25.89,44.15,15.81,83.17,74.53,34.14,3.82,,
,  February,60.12,27.62,47.78,18.48,83.17,76.53,35.55,5.62,California,Berkeley
,  May,59.02,25.89,44.15,15.81,84.87,74.53,34.14,3.82,Michigan,Detroit
,  September,67.47,31.50,54.40,21.84,92.23,81.31,42.97,9.34,Michigan,Detroit
Q2,,59.47,21.69,0.04,14.53,81.58,69.54,29.55,1.73,,
,  April,59.47,21.69,44.62,14.53,82.63,69.54,33.23,1.73,California,Berkeley
,  January,59.96,27.89,43.89,15.53,83.77,74.16,29.55,4.59,Michigan,Detroit
,  July,64.82,29.58,0.04,21.81,81.58,78.35,41.60,9.36,California,Berkeley
Q3,,61.18,21.96,43.80,16.12,85.82,75.77,35.70,4.03,,
,  August,67.56,32.38,57.73,23.08,97.92,82.51,43.58,9.39,California,Berkeley
,  June,61.18,21.96,46.02,16.12,85.82,75.77,35.70,4.03,California,Berkeley
,  March,63.38,29.07,43.80,20.37,86.92,78.20,39.17,8.11,Michigan,Detroit
