Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Male,2017,Q3,Traffic,Serious,33.85
Male,2017,Q3,Drowning,Serious,98.94
Male,2019,Q1,Traffic,Serious,98.77
Male,2019,Q1,Drowning,Serious,75.1
Male,2015,Q3,Traffic,Serious,44.78
Male,2015,Q3,Drowning,Serious,83.89
Male,2017,Q1,Traffic,Serious,53.38
Male,2017,Q1,Drowning,Serious,21.34
Male,2019,Q3,Traffic,Serious,24.24
Male,2019,Q3,Drowning,Serious,88.33
Male,2015,Q1,Traffic,Serious,92.37
Male,2015,Q1,Drowning,Serious,61.11
