Quarter,Month,Culture_Concert,Culture_Hospital,Culture_House,Residential_Library,Residential_Theatre,Service_Administration,Service_Hotel,State,City
Q1,,8.98,90.21,38.20,60.06,21.02,75.36,30.20,,
,  August,8.98,90.95,41.38,60.06,21.02,75.36,30.20,Oregon,Salem
,  June,11.37,90.21,86.70,67.01,28.07,88.29,38.11,Oregon,Salem
,  March,11.90,94.51,38.20,65.17,25.32,83.37,35.52,Maryland,Aberdeen
Q2,,9.06,90.85,41.71,62.01,22.04,74.12,33.70,,
,  April,12.18,95.64,46.48,66.52,26.18,86.31,36.74,Oregon,Salem
,  July,16.79,99.06,49.08,73.21,29.38,89.27,39.44,Maryland,Aberdeen
,  September,9.06,90.85,41.71,62.01,22.04,74.12,33.70,Maryland,Aberdeen
Q3,,7.10,88.08,41.02,38.33,16.97,74.49,30.32,,
,  January,10.94,92.75,44.10,38.33,24.52,80.68,34.09,Oregon,Salem
,  July,7.10,90.83,41.02,55.11,16.97,74.49,30.32,Maryland,Aberdeen
,  May,10.25,88.08,46.15,65.16,27.18,87.08,38.08,Maryland,Aberdeen
