Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Library,Q4,October,5.72
Service,Library,Q3,December,15.61
Service,Library,Q4,November,16.99
Service,Library,Q3,July,19.34
Service,Library,Q4,August,25.63
Service,Library,Q3,September,33.51
Culture,School,Q4,October,35.73
Culture,School,Q3,December,35.98
Culture,School,Q4,November,39.29
Culture,School,Q3,July,42.37
Culture,School,Q4,August,43.55
Culture,School,Q3,September,45.28
Service,Museum,Q4,October,53.38
Service,Museum,Q3,December,56.39
Service,Museum,Q4,November,56.32
Service,Museum,Q3,July,61.64
Service,Museum,Q4,August,63.74
Service,Museum,Q3,September,66.48
Culture,Concert,Q4,October,67.88
Culture,Concert,Q3,December,73.41
Culture,Concert,Q4,November,76.89
Culture,Concert,Q3,July,78.17
Culture,Concert,Q4,August,82.14
Culture,Concert,Q3,September,83.14
Service,Theatre,Q4,October,84.33
Service,Theatre,Q3,December,87.4
Service,Theatre,Q4,November,87.86
Service,Theatre,Q3,July,90.08
Service,Theatre,Q4,August,98.06
Service,Theatre,Q3,September,99.93
