Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2018,Temperature,11-20,1.84
2018,Humidity,0-10,5.11
2018,Wind,21-30,6.69
2018,Temperature,Low,7.73
2018,Humidity,Medium,8.49
2018,Wind,High,9.52
2018,Temperature,Calm,8.55
2018,Humidity,Storm,10.04
2018,Wind,11-20,12.38
2016,Temperature,11-20,12.88
2016,Humidity,0-10,11.13
2016,Wind,21-30,16.83
2016,Temperature,Low,18.7
2016,Humidity,Medium,20.98
2016,Wind,High,21.49
2016,Temperature,Calm,23.87
2016,Humidity,Storm,24.74
2016,Wind,11-20,24.82
