Characteristic,Intensity,2015_Illinois_Rochester,2017_Illinois_Champaign,2017_Minnesota_Hastings,2019_Minnesota_Springfield,Maximum
Humidity,,18.58,10.10,9.61,23.23,23.23
,  0-10,18.58,2.81,9.61,22.77,22.77
,  21-30,12.43,10.10,3.13,18.30,18.30
,  Low,14.01,2.01,6.62,23.23,23.23
Temperature,,16.39,25.69,6.03,25.70,25.70
,  0-10,9.52,25.69,0.99,19.12,25.69
,  Calm,12.01,11.35,4.92,15.25,15.25
,  Medium,16.39,16.67,6.03,25.70,25.70
Wind,,14.66,27.24,8.19,25.13,27.24
,  11-20,9.79,27.24,2.66,20.54,27.24
,  Breeze,14.15,15.44,5.04,23.61,23.61
,  High,14.66,3.50,8.19,25.13,25.13
