Quarter,Month,Culture_Factory,Culture_Museum,Production_Concert,Production_Workshop,Minimum
Q1,,27.42,84.09,51.63,6.63,6.63
,  March,27.42,87.91,56.85,15.07,15.07
,  May,38.39,98.53,62.10,23.52,23.52
,  September,28.71,84.09,51.63,6.63,6.63
Q2,,29.72,0.01,52.82,13.04,0.01
,  August,40.17,0.01,67.16,26.82,0.01
,  January,32.80,87.22,58.66,19.30,19.30
,  July,29.72,85.14,52.82,13.04,13.04
Q3,,26.85,80.14,42.83,6.09,6.09
,  April,30.74,94.38,58.11,21.94,21.94
,  August,26.85,80.14,42.83,6.09,6.09
,  February,30.90,87.07,54.71,13.45,13.45
Minimum,,26.85,0.01,42.83,6.09,0.01
,  ,26.85,0.01,42.83,6.09,0.01
