Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Wind,Storm,1.42
2019,Temperature,Breeze,1.81
2019,Humidity,21-30,3.67
2019,Wind,31-40,1.83
2019,Temperature,11-20,5.61
2019,Humidity,Medium,6.26
2019,Wind,High,8.6
2019,Temperature,Low,8.92
2019,Humidity,Storm,10.95
2022,Wind,Storm,11.35
2022,Temperature,Breeze,11.84
2022,Humidity,21-30,13.85
2022,Wind,31-40,11.76
2022,Temperature,11-20,15.71
2022,Humidity,Medium,15.78
2022,Wind,High,15.0
2022,Temperature,Low,16.81
2022,Humidity,Storm,15.11
2018,Wind,Storm,17.38
2018,Temperature,Breeze,21.13
2018,Humidity,21-30,22.23
2018,Wind,31-40,22.56
2018,Temperature,11-20,25.08
2018,Humidity,Medium,26.59
2018,Wind,High,25.43
2018,Temperature,Low,0.15
2018,Humidity,Storm,0.23
