Polluted element,Type of pollution,California_Los-Angeles,California_Minneapolis,Georgia_Rochester,Georgia_San Francisco,Georgia_Washington,Minnesota_Albany,Minnesota_Berkeley
Average,,-35.99,72.11,-21.44,-14.57,21.32,42.70,-63.72
,  ,-35.99,72.11,-21.44,-14.57,21.32,42.70,-63.72
Air,,-35.74,72.49,-21.38,-14.18,21.47,46.24,-64.11
,  Chemical,-34.53,75.75,-91.35,-13.25,25.12,49.35,-60.91
,  Inferior Irrigation,-27.97,82.97,-82.14,-6.20,33.39,55.83,-51.66
,  Inorganic Fertilizers,-42.35,62.05,88.84,-21.68,7.48,34.17,-75.88
,  Thermal,-38.10,69.18,-0.87,-15.61,19.88,45.62,-68.01
Soil,,-37.65,69.30,0.80,-16.68,19.18,31.20,-66.27
,  Inferior Irrigation,-43.38,60.71,86.98,-25.57,6.76,35.38,-77.93
,  Light,-35.97,72.50,-94.17,-13.71,23.70,46.15,-61.31
,  Surface water,-28.76,79.86,-85.45,-10.87,30.61,-2.71,-54.62
,  Urban Activities,-42.50,64.14,95.85,-16.58,15.65,45.96,-71.20
Water,,-34.59,74.53,-43.74,-12.84,23.30,50.66,-60.79
,  Industrial,-42.26,64.48,89.53,-21.88,7.73,44.56,-72.50
,  Inorganic Fertilizers,-27.52,86.67,-81.00,-2.85,34.97,58.96,-44.64
,  Noise,-37.64,70.61,-95.92,-15.84,22.82,45.36,-66.51
,  Oxygen-depletion,-30.95,76.38,-87.58,-10.78,27.69,53.74,-59.51
