Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2022,Q3,Traffic,Serious,98.24
Female,2022,Q3,Drowning,Serious,99.27
Female,2018,Q4,Traffic,Serious,72.17
Female,2018,Q4,Drowning,Serious,40.83
Female,2020,Q3,Traffic,Serious,11.3
Female,2020,Q3,Drowning,Serious,76.79
Female,2022,Q4,Traffic,Serious,45.39
Female,2022,Q4,Drowning,Serious,16.23
Female,2018,Q3,Traffic,Serious,81.8
Female,2018,Q3,Drowning,Serious,81.74
Female,2020,Q4,Traffic,Serious,86.39
Female,2020,Q4,Drowning,Serious,62.98
