Polluted element,Type of pollution,Florida_Fort Lauderdale,Florida_Redmond,Florida_Salem,Oregon_Portland,Oregon_Tampa
Air,Industrial,4.47,-35.07,-66.79,78.71,41.24
,Inferior Irrigation,2.04,-38.09,57.95,75.10,34.55
,Inorganic Fertilizers,-95.23,-7.72,-57.90,82.28,-78.75
,Noise,17.59,96.20,-63.63,81.32,-84.92
,Oxygen-depletion,30.28,-29.22,-61.72,84.97,48.96
Soil,Chemical,-7.80,-29.24,64.08,-46.37,45.19
,Inferior Irrigation,-45.38,-15.42,70.79,-2.68,50.80
,Solid Waste,2.38,92.38,-67.76,-51.03,-88.25
,Thermal,13.54,-37.63,0.17,76.12,44.75
,Urban Activities,0.85,81.53,-72.66,-54.68,-93.63
Water,Groundwater,24.65,99.74,66.30,81.59,46.88
,Inorganic Fertilizers,3.55,91.47,59.35,76.57,39.91
,Light,6.07,-34.97,-65.62,79.94,43.03
,Solid Waste,34.90,-2.00,-55.64,86.83,52.58
,Urban Activities,30.58,-27.53,-58.44,84.07,43.39
