State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Massachusetts,Lenox,Air,Thermal,7.96
Massachusetts,Lenox,Soil,Noise,21.64
Massachusetts,Lenox,Water,Light,21.81
Massachusetts,Lenox,Air,Solid Waste,23.98
Massachusetts,Lenox,Soil,Inferior Irrigation,31.02
Massachusetts,Lenox,Water,Chemical,32.67
Massachusetts,Lenox,Air,Oxygen-depletion,33.99
Massachusetts,Lenox,Soil,Groundwater,33.53
Massachusetts,Lenox,Water,Thermal,-95.67
Illinois,Cambridge,Air,Thermal,-92.08
Illinois,Cambridge,Soil,Noise,37.77
Illinois,Cambridge,Water,Light,32.1
Illinois,Cambridge,Air,Solid Waste,-89.29
Illinois,Cambridge,Soil,Inferior Irrigation,31.09
Illinois,Cambridge,Water,Chemical,35.99
Illinois,Cambridge,Air,Oxygen-depletion,-86.85
Illinois,Cambridge,Soil,Groundwater,37.23
Illinois,Cambridge,Water,Thermal,-93.8
Georgia,Boston,Air,Thermal,45.64
Georgia,Boston,Soil,Noise,46.47
Georgia,Boston,Water,Light,46.68
Georgia,Boston,Air,Solid Waste,48.89
Georgia,Boston,Soil,Inferior Irrigation,49.92
Georgia,Boston,Water,Chemical,50.27
Georgia,Boston,Air,Oxygen-depletion,-78.13
Georgia,Boston,Soil,Groundwater,50.22
Georgia,Boston,Water,Thermal,-75.0
Massachusetts,Springfield,Air,Thermal,-75.25
Massachusetts,Springfield,Soil,Noise,-73.01
Massachusetts,Springfield,Water,Light,-72.24
Massachusetts,Springfield,Air,Solid Waste,-74.47
Massachusetts,Springfield,Soil,Inferior Irrigation,-70.82
Massachusetts,Springfield,Water,Chemical,-67.15
Massachusetts,Springfield,Air,Oxygen-depletion,-63.58
Massachusetts,Springfield,Soil,Groundwater,-63.87
Massachusetts,Springfield,Water,Thermal,33.31
Illinois,Champaign,Air,Thermal,69.31
Illinois,Champaign,Soil,Noise,69.68
Illinois,Champaign,Water,Light,-57.69
Illinois,Champaign,Air,Solid Waste,72.5
Illinois,Champaign,Soil,Inferior Irrigation,-57.14
Illinois,Champaign,Water,Chemical,74.92
Illinois,Champaign,Air,Oxygen-depletion,-87.13
Illinois,Champaign,Soil,Groundwater,76.07
Illinois,Champaign,Water,Thermal,77.56
Georgia,Chicago,Air,Thermal,77.81
Georgia,Chicago,Soil,Noise,-51.65
Georgia,Chicago,Water,Light,79.49
Georgia,Chicago,Air,Solid Waste,77.02
Georgia,Chicago,Soil,Inferior Irrigation,82.64
Georgia,Chicago,Water,Chemical,-52.56
Georgia,Chicago,Air,Oxygen-depletion,-44.81
Georgia,Chicago,Soil,Groundwater,-44.61
Georgia,Chicago,Water,Thermal,84.92
Massachusetts,Columbus,Air,Thermal,-39.72
Massachusetts,Columbus,Soil,Noise,-36.44
Massachusetts,Columbus,Water,Light,-35.63
Massachusetts,Columbus,Air,Solid Waste,92.34
Massachusetts,Columbus,Soil,Inferior Irrigation,93.53
Massachusetts,Columbus,Water,Chemical,96.0
Massachusetts,Columbus,Air,Oxygen-depletion,-34.85
Massachusetts,Columbus,Soil,Groundwater,-24.04
Massachusetts,Columbus,Water,Thermal,46.4
Illinois,Albany,Air,Thermal,-21.04
Illinois,Albany,Soil,Noise,-18.56
Illinois,Albany,Water,Light,-17.88
Illinois,Albany,Air,Solid Waste,-16.32
Illinois,Albany,Soil,Inferior Irrigation,-14.87
Illinois,Albany,Water,Chemical,-12.52
Illinois,Albany,Air,Oxygen-depletion,-10.0
Illinois,Albany,Soil,Groundwater,-8.32
Illinois,Albany,Water,Thermal,-1.35
