State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Oregon,Redmond,Air,Thermal,5.49
Oregon,Redmond,Water,Light,6.41
Oregon,Redmond,Soil,Groundwater,9.22
Oregon,Redmond,Air,Chemical,10.83
Oregon,Redmond,Water,Oxygen-depletion,11.71
Oregon,Redmond,Soil,Surface water,15.97
Oregon,Redmond,Air,Inferior Irrigation,16.3
Oregon,Redmond,Water,Inorganic Fertilizers,16.33
Oregon,Redmond,Soil,Urban Activities,18.32
Oregon,Redmond,Air,Industrial,21.95
Oregon,Redmond,Water,Thermal,21.33
Oregon,Redmond,Soil,Light,23.05
California,Salem,Air,Thermal,25.09
California,Salem,Water,Light,26.58
California,Salem,Soil,Groundwater,27.23
California,Salem,Air,Chemical,36.24
California,Salem,Water,Oxygen-depletion,36.96
California,Salem,Soil,Surface water,39.45
California,Salem,Air,Inferior Irrigation,40.61
California,Salem,Water,Inorganic Fertilizers,41.98
California,Salem,Soil,Urban Activities,44.19
California,Salem,Air,Industrial,47.47
California,Salem,Water,Thermal,53.62
California,Salem,Soil,Light,53.16
Nevada,Portland,Air,Thermal,56.76
Nevada,Portland,Water,Light,60.28
Nevada,Portland,Soil,Groundwater,66.13
Nevada,Portland,Air,Chemical,67.57
Nevada,Portland,Water,Oxygen-depletion,67.31
Nevada,Portland,Soil,Surface water,66.53
Nevada,Portland,Air,Inferior Irrigation,70.79
Nevada,Portland,Water,Inorganic Fertilizers,71.6
Nevada,Portland,Soil,Urban Activities,71.16
Nevada,Portland,Air,Industrial,72.55
Nevada,Portland,Water,Thermal,75.11
Nevada,Portland,Soil,Light,76.36
Oregon,Malibu,Air,Thermal,77.48
Oregon,Malibu,Water,Light,76.37
Oregon,Malibu,Soil,Groundwater,79.5
Oregon,Malibu,Air,Chemical,80.78
Oregon,Malibu,Water,Oxygen-depletion,82.29
Oregon,Malibu,Soil,Surface water,84.17
Oregon,Malibu,Air,Inferior Irrigation,84.84
Oregon,Malibu,Water,Inorganic Fertilizers,90.56
Oregon,Malibu,Soil,Urban Activities,93.06
Oregon,Malibu,Air,Industrial,98.3
Oregon,Malibu,Water,Thermal,0.88
Oregon,Malibu,Soil,Light,-99.07
California,San Francisco,Air,Thermal,-98.41
California,San Francisco,Water,Light,-97.88
California,San Francisco,Soil,Groundwater,-94.53
California,San Francisco,Air,Chemical,-91.91
California,San Francisco,Water,Oxygen-depletion,-90.1
California,San Francisco,Soil,Surface water,-89.66
California,San Francisco,Air,Inferior Irrigation,-89.64
California,San Francisco,Water,Inorganic Fertilizers,-89.78
California,San Francisco,Soil,Urban Activities,-86.55
California,San Francisco,Air,Industrial,-85.17
California,San Francisco,Water,Thermal,-79.64
California,San Francisco,Soil,Light,-79.87
Nevada,Los-Angeles,Air,Thermal,-77.96
Nevada,Los-Angeles,Water,Light,-78.96
Nevada,Los-Angeles,Soil,Groundwater,-72.51
Nevada,Los-Angeles,Air,Chemical,-70.19
Nevada,Los-Angeles,Water,Oxygen-depletion,-55.73
Nevada,Los-Angeles,Soil,Surface water,-54.52
Nevada,Los-Angeles,Air,Inferior Irrigation,-53.07
Nevada,Los-Angeles,Water,Inorganic Fertilizers,-52.54
Nevada,Los-Angeles,Soil,Urban Activities,-52.27
Nevada,Los-Angeles,Air,Industrial,-50.0
Nevada,Los-Angeles,Water,Thermal,-50.27
Nevada,Los-Angeles,Soil,Light,-52.71
Oregon,Reno,Air,Thermal,-54.79
Oregon,Reno,Water,Light,-46.8
Oregon,Reno,Soil,Groundwater,-47.31
Oregon,Reno,Air,Chemical,-44.4
Oregon,Reno,Water,Oxygen-depletion,-44.35
Oregon,Reno,Soil,Surface water,-51.18
Oregon,Reno,Air,Inferior Irrigation,-36.38
Oregon,Reno,Water,Inorganic Fertilizers,-31.52
Oregon,Reno,Soil,Urban Activities,-28.68
Oregon,Reno,Air,Industrial,-27.61
Oregon,Reno,Water,Thermal,-18.54
Oregon,Reno,Soil,Light,-18.12
California,Boulder City,Air,Thermal,-17.37
California,Boulder City,Water,Light,-15.31
California,Boulder City,Soil,Groundwater,-14.04
California,Boulder City,Air,Chemical,-14.61
California,Boulder City,Water,Oxygen-depletion,-12.38
California,Boulder City,Soil,Surface water,-14.08
California,Boulder City,Air,Inferior Irrigation,-10.99
California,Boulder City,Water,Inorganic Fertilizers,-9.4
California,Boulder City,Soil,Urban Activities,-13.42
California,Boulder City,Air,Industrial,-7.6
California,Boulder City,Water,Thermal,-6.42
California,Boulder City,Soil,Light,-2.31
