Characteristic,Intensity,2019_Illinois_Boston,2019_Illinois_Rochester,2019_Massachusetts_Cambridge,2019_Minnesota_Springfield,2020_Illinois_Chicago,2020_Massachusetts_Hastings,2020_Minnesota_Lenox,2020_Minnesota_Minneapolis,Maximum
Humidity,,19.28,15.46,15.29,28.00,11.25,21.13,18.18,3.07,28.00
,  0-10,19.07,11.56,15.29,25.98,9.34,17.96,17.44,3.07,25.98
,  Breeze,2.22,15.46,3.05,28.00,11.25,21.13,18.18,2.69,28.00
,  Medium,19.28,9.17,3.99,24.20,7.74,18.62,16.15,0.12,24.20
Temperature,,22.17,16.45,16.84,23.60,11.63,25.99,18.80,7.81,25.99
,  11-20,19.02,13.90,15.36,23.60,10.79,22.94,18.80,4.79,23.60
,  Calm,22.17,16.45,16.84,5.93,11.63,25.99,6.86,7.81,25.99
,  High,19.34,9.94,14.31,21.59,7.00,14.30,17.99,1.46,21.59
Wind,,19.45,15.83,16.55,27.15,12.55,26.17,19.19,4.03,27.15
,  31-40,19.24,11.60,2.70,20.60,8.28,16.14,17.31,2.61,20.60
,  Medium,0.24,15.83,16.55,27.15,12.55,26.17,19.19,1.70,27.15
,  Storm,19.45,13.24,15.68,23.40,10.34,23.25,18.78,4.03,23.40
Maximum,,22.17,16.45,16.84,28.00,12.55,26.17,19.19,7.81,28.00
,  ,22.17,16.45,16.84,28.00,12.55,26.17,19.19,7.81,28.00
