Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2020,Wind,Breeze,2.73
2020,Humidity,Calm,5.5
2020,Temperature,Low,6.55
2020,Wind,Medium,7.29
2020,Humidity,21-30,8.57
2020,Temperature,0-10,9.95
2020,Wind,31-40,6.01
2020,Humidity,Breeze,11.47
2020,Temperature,Calm,5.58
2022,Wind,Breeze,13.13
2022,Humidity,Calm,13.16
2022,Temperature,Low,13.2
2022,Wind,Medium,13.37
2022,Humidity,21-30,13.65
2022,Temperature,0-10,19.51
2022,Wind,31-40,20.36
2022,Humidity,Breeze,21.63
2022,Temperature,Calm,22.36
2019,Wind,Breeze,23.47
2019,Humidity,Calm,22.33
2019,Temperature,Low,25.9
2019,Wind,Medium,26.53
2019,Humidity,21-30,26.78
2019,Temperature,0-10,27.31
2019,Wind,31-40,24.39
2019,Humidity,Breeze,0.22
2019,Temperature,Calm,20.23
