Polluted element,Type of pollution,Michigan_Detroit_2015,Michigan_Portland_2015,Oregon_Flint_2019,Oregon_Redmond_2019
Average,,-8.32,-8.95,4.94,18.94
,  ,-8.32,-8.95,4.94,18.94
Air,,6.82,45.79,-24.91,23.24
,  Chemical,90.01,40.91,59.72,15.88
,  Groundwater,-3.31,48.59,-45.60,34.63
,  Solid Waste,-35.54,44.42,-60.01,18.51
,  Thermal,-23.87,49.25,-53.76,23.95
Soil,,1.70,-50.91,4.61,17.88
,  Groundwater,87.25,-89.26,-71.75,10.03
,  Industrial,-37.58,-85.03,-61.74,15.93
,  Noise,-27.83,-80.88,69.38,19.99
,  Surface water,-15.05,51.55,82.56,25.55
Water,,-33.49,-21.75,35.12,15.71
,  Inferior Irrigation,-27.01,44.93,68.69,15.26
,  Inorganic Fertilizers,-37.60,-86.99,61.85,16.04
,  Light,-23.75,-80.91,-47.53,24.67
,  Surface water,-45.61,35.97,57.48,6.87
