Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2018,Humidity,High,0.39
2018,Temperature,Low,1.77
2018,Wind,21-30,2.71
2018,Humidity,11-20,8.62
2018,Temperature,Calm,8.58
2018,Wind,Storm,10.58
2018,Humidity,Breeze,11.41
2018,Temperature,High,10.37
2018,Wind,Low,13.08
2019,Humidity,High,14.71
2019,Temperature,Low,25.76
2019,Wind,21-30,13.32
2019,Humidity,11-20,19.55
2019,Temperature,Calm,23.38
2019,Wind,Storm,24.94
2019,Humidity,Breeze,24.77
2019,Temperature,High,27.11
2019,Wind,Low,25.53
